,target,output,question
0,hallway,John is in the hospital. He is a patient there.,Where is John? 
1,bathroom,Mary is in the hospital. She is recovering from her illness and is being cared,Where is Mary? 
2,kitchen,"According to the passage, Sandra is in the the kitchen of the Queen Elizabeth Hotel.",Where is Sandra? 
3,hallway,Sandra is a character in the story. She is a young woman who is the daughter of a,Where is Sandra? 
4,kitchen,Sandra is in the kitchen.,Where is Sandra? 
5,hallway,"Sandra is in the ""Ruined City"" with the other survivors of the",Where is Sandra? 
6,garden,Sandra is in the garden.,Where is Sandra? 
7,hallway,Daniel is in the Glen of the Glen of the Gael.,Where is Daniel? 
8,office,Sandra is in the Big Horn Ranch.,Where is Sandra? 
9,office,"Daniel is in the woods, according to the passage. He is ""in the woods, where",Where is Daniel? 
10,kitchen,"Mary is in the Everglades, somewhere deep in the swamp. She was seen in",Where is Mary? 
11,garden,"Mary is in the Dismal Swamp, where she has been living for some time.",Where is Mary? 
12,office,"Daniel is in the Highlands of Scotland. He is hiding in a cave in the mountains,",Where is Daniel? 
13,bedroom,Mary is in the tower of Falkland Castle. She has been imprisoned there by the,Where is Mary? 
14,bedroom,"Mary is in the Castle of Chattan. She is the daughter of Torquil, the",Where is Mary? 
15,kitchen,John is at the manor house.,Where is John? 
16,garden,John is in the hall of the old church in Simiti. He has been there for some,Where is John? 
17,kitchen,"John is in the mountains of Simiti, searching for the amalgam that Rosendo had",Where is John? 
18,office,"Daniel is in the swamp, hiding from the revenue officers who are searching for him.",Where is Daniel? 
19,kitchen,John is in the office.,Where is John? 
20,hallway,"Mary is not mentioned in the passage. The passage is about Thomas Paine and his book """,Where is Mary? 
21,office,John is in the New World. He has arrived in America and is now living in Bord,Where is John? 
22,office,John is in New York City.,Where is John? 
23,hallway,Sandra is at the hallway.,Where is Sandra? 
24,bedroom,"Daniel is in the grave. His body is buried in the earth, and his spirit has gone",Where is Daniel? 
25,bedroom,Sandra is not present in the scene. She is not mentioned in the dialogue. The,Where is Sandra? 
26,bedroom,"Mary is in the kitchen, preparing dinner. She is the housekeeper and cook for the",Where is Mary? 
27,kitchen,"Daniel is in Bordentown, New Jersey.",Where is Daniel? 
28,kitchen,Daniel is in the hospital.,Where is Daniel? 
29,kitchen,Daniel is in the city of New York.,Where is Daniel? 
30,hallway,Sandra is in New York City.,Where is Sandra? 
31,office,John is in India. He is an assistant surgeon in the East India Company's service,Where is John? 
32,kitchen,Sandra is in Russia. She is one of the women who went to Russia to help with,Where is Sandra? 
33,kitchen,"Sandra is in Serbia, serving with the Scottish Women's Hospitals.",Where is Sandra? 
34,bathroom,Answer: Sandra is in the hospital. She is a patient in the hospital.,Where is Sandra? 
35,office,Mary is in the hospital. She is a probationer and is working in the children',Where is Mary? 
36,bathroom,Mary is in the bathroom. She is the chambermaid who helped Fred hide in the,Where is Mary? 
37,garden,Mary is in the house with her mother.,Where is Mary? 
38,kitchen,"Sandra is in the woods near the river, hiding from the Confederate soldiers who are purs",Where is Sandra? 
39,bedroom,"Daniel is in Washington, D.C. He is an astronomer who works at the Harvard",Where is Daniel? 
40,bathroom,"Sandra is in the mountains of Colorado. She is staying with her aunt, Mrs",Where is Sandra? 
41,garden,Daniel is in the nursing home where Miss Prentice is being cared for.,Where is Daniel? 
42,bathroom,Sandra is in Paris.,Where is Sandra? 
43,hallway,"Daniel is in Pisa, Italy.",Where is Daniel? 
44,garden,"Daniel is in the hayfield, leading the rearguard of the harvesters.",Where is Daniel? 
45,kitchen,"Mary is at the Clifford house with her father, Dr. Clifford.",Where is Mary? 
46,hallway,"Daniel is in the mountains, near the place where he was brought up. He is in a",Where is Daniel? 
47,bathroom,Sandra is in the city with her friend Gertrude. They are attending a party,Where is Sandra? 
48,office,John is not mentioned in the passage. The passage describes the experiences of a young girl named Ele,Where is John? 
49,bedroom,"John is in the hallway, standing near the elevator. He is talking to the black",Where is John? 
50,bedroom,"John is in the town of Harmon, which is located in the western part of the Domin",Where is John? 
51,office,John is at the Fort Calgary Reserve.,Where is John? 
52,garden,John is in the room.,Where is John? 
53,garden,John is in the garden.,Where is John? 
54,kitchen,"Daniel is at the ""Grillon"" cabaret in the Latin Quarter of Paris.",Where is Daniel? 
55,bedroom,Answer: Mary is in the Luxembourg Gardens.,Where is Mary? 
56,kitchen,"Mary is in London, according to the passage. She is the wife of Mixtus,",Where is Mary? 
57,hallway,Mary is in the kitchen.,Where is Mary? 
58,garden,Daniel is in the parsonage in Thessaly. He is sitting in the room with,Where is Daniel? 
59,hallway,"Sandra is with her mother, Mrs. Minster, in the inner room of their house",Where is Sandra? 
60,hallway,"Sandra is in the house of the milliner, Mrs. Minster. She is sitting",Where is Sandra? 
61,office,Daniel is at the office.,Where is Daniel? 
62,bathroom,Sandra is in the bathroom.,Where is Sandra? 
63,garden,Daniel is in the hallway.,Where is Daniel? 
64,garden,Daniel is in the bathroom.,Where is Daniel? 
65,kitchen,"John is in the desert, waiting for his beloved to return. He is lying on a",Where is John? 
66,kitchen,"John is in the kitchen, preparing dinner. He is chopping vegetables and stirring",Where is John? 
67,bathroom,"Daniel is in the bathroom.

(48) The first meeting of the Convention",Where is Daniel? 
68,office,Daniel is in the Garden of Eden.,Where is Daniel? 
69,office,Daniel is in the cell at the Deanery.,Where is Daniel? 
70,garden,Mary is in the garden.,Where is Mary? 
71,hallway,Sandra is in the Middle Kingdom.,Where is Sandra? 
72,garden,"Mary is in the Soudan, accompanying General Gordon.",Where is Mary? 
73,bedroom,Mary is in the garden.,Where is Mary? 
74,bathroom,Mary is staying with a relative for the time being. She left her home after the murder,Where is Mary? 
75,kitchen,Daniel is in the house with Mrs. Belden. He is the gentleman who was married to,Where is Daniel? 
76,kitchen,John is in the hospital in Galatz.,Where is John? 
77,kitchen,Daniel is in the cave with the other prisoners.,Where is Daniel? 
78,hallway,"Daniel is not mentioned in the passage. The passage only mentions the following characters:

*",Where is Daniel? 
79,office,Daniel is in the cave.,Where is Daniel? 
80,garden,"John is in the tower.

""'Tis there, my Lord, that John",Where is John? 
81,bathroom,John is in Chicago.,Where is John? 
82,bedroom,Sandra is in the garden with Lester.,Where is Sandra? 
83,garden,"Mary is in the kitchen, preparing dinner for her family. She is a hardworking woman",Where is Mary? 
84,office,"Daniel is in the kitchen.

Answer: Daniel is in the kitchen.

Question",Where is Daniel? 
85,garden,"Sandra is in the kitchen with Ruth, making and serving tea for the children.",Where is Sandra? 
86,garden,"Mary is at home with her baby, Frankie. She is preparing dinner for Owen",Where is Mary? 
87,hallway,"John is in the ""Cave"" at the back of the house.",Where is John? 
88,kitchen,"Sandra is in the Transvaal, according to the passage. It mentions that the Dutch",Where is Sandra? 
89,kitchen,Daniel is not mentioned in the passage. The passage is discussing the history of the English Parliament,Where is Daniel? 
90,bathroom,Sandra is in the hospital.,Where is Sandra? 
91,bathroom,"John is in Chicago, Illinois. He is Lester Kane's brother and is involved",Where is John? 
92,hallway,"Sandra is in a small town called Sandwood, located about an hour from Chicago. She",Where is Sandra? 
93,bathroom,"Sandra is in the bedroom with her baby, Mary Linden.",Where is Sandra? 
94,bathroom,Sandra is working in the paint-shop at Rushton's. She is one,Where is Sandra? 
95,kitchen,John is not mentioned in the passage. The passage only describes the events and characters involved in the,Where is John? 
96,kitchen,Sandra is mentioned in the passage as a woman who was in love with a man named Wilson,Where is Sandra? 
97,kitchen,"Mary is in the hospital, in the children's ward. She is a nurse",Where is Mary? 
98,bedroom,"Mary is with her husband, Joseph, in the hospital. She has been caring for him",Where is Mary? 
99,bedroom,Mary is in the Luxembourg prison with Thomas Paine. She is his wife.,Where is Mary? 
100,bedroom,"Mary is in the Luxembourg Gardens. She is sitting on a bench, reading a",Where is Mary? 
101,bathroom,"Sandra is in Naples, Italy.",Where is Sandra? 
102,office,Mary is in the garden.,Where is Mary? 
103,garden,Daniel is in Utah. He has been working in the mines there for some time. He,Where is Daniel? 
104,garden,"Daniel is in the West Indies. He was shot by a monkey in Sibi,",Where is Daniel? 
105,hallway,Mary is in the convent. She was taken there by the priests after she was found wand,Where is Mary? 
106,bedroom,Daniel is in the cellar of the convent. He was taken there by the priests after,Where is Daniel? 
107,bathroom,"Daniel is in the kitchen.

""The school-master said, 'That boy standing",Where is Daniel? 
108,office,"Daniel is in jail, according to the passage. He was arrested and put in jail",Where is Daniel? 
109,bedroom,"According to the passage, John is in Eden. The passage states: ""Then did I",Where is John? 
110,bathroom,"Daniel is in the northeast corner of the compound, according to the message from the compr",Where is Daniel? 
111,bathroom,Daniel is in the cave with the lions.,Where is Daniel? 
112,kitchen,John is in the bedroom.,Where is John? 
113,hallway,"John is in the church at Etchmiadzin, Armenia.",Where is John? 
114,kitchen,"Mary is in the kitchen, preparing dinner for the family.",Where is Mary? 
115,garden,"Sandra is in Hillerton, a small town in the United States. She is a young",Where is Sandra? 
116,office,John is in the kitchen.,Where is John? 
117,kitchen,"Mary is in the church, in the chancel, in the sanctuary, in",Where is Mary? 
118,bathroom,Daniel is in the kitchen.,Where is Daniel? 
119,office,Daniel is in the kitchen.,Where is Daniel? 
120,bedroom,Daniel is in the Castle of Jaffnapatam.,Where is Daniel? 
121,bathroom,"Mary is in the Shenandoah Valley of Virginia.

[Illustration: THE F",Where is Mary? 
122,bedroom,"Daniel is in the Union army. He is a private in the 11th Corps,",Where is Daniel? 
123,hallway,Daniel is in the Carlton Hotel in Chicago.,Where is Daniel? 
124,bedroom,Mary is in the Glen. She is staying with her friend Mrs. Fyffe.,Where is Mary? 
125,office,Sandra is in the United States. She is a young woman who has been living in the,Where is Sandra? 
126,garden,John is in the cave. He is hiding there.,Where is John? 
127,garden,Daniel is in the jungle in South America.,Where is Daniel? 
128,garden,"Sandra is in the bedroom, sitting alone and wearing a ""pale, thin",Where is Sandra? 
129,bathroom,"Sandra is in the kitchen, preparing dinner.",Where is Sandra? 
130,garden,Sandra is in the grave. She died after being turned into a statue by the wicked,Where is Sandra? 
131,hallway,Mary is in the office.,Where is Mary? 
132,bathroom,Sandra is with Coningsby in London. She is his servant and companion.,Where is Sandra? 
133,garden,Sandra is in the bathroom.,Where is Sandra? 
134,kitchen,"John is in the field, firing his Rocket at the enemy.",Where is John? 
135,bathroom,"Sandra is in the Georgetown neighborhood of Washington, D.C.",Where is Sandra? 
136,office,"Sandra is in the forest, searching for food. She is described as ""a little bird",Where is Sandra? 
137,kitchen,"According to the passage, John is now in the kitchen.",Where is John? 
138,bathroom,"Sandra is in the city of Ravenna, Italy.",Where is Sandra? 
139,bathroom,John is in the office.,Where is John? 
140,office,"Mary is with her father, the Superintendent of the Fort, in the Fort.",Where is Mary? 
141,hallway,"Mary is in the kitchen, preparing dinner for her husband and son.",Where is Mary? 
142,hallway,Mary is at the office.,Where is Mary? 
143,office,Sandra is in the bathroom.,Where is Sandra? 
144,bedroom,Sandra is in the bedroom.,Where is Sandra? 
145,kitchen,"Sandra is in Chicago, living with Lester Kane. She is his servant girl and",Where is Sandra? 
146,kitchen,"Sandra is in Sandwood, a small town located about 15 minutes from Hyde",Where is Sandra? 
147,kitchen,Answer: Daniel is in the kitchen.,Where is Daniel? 
148,kitchen,Sandra is in the kitchen.,Where is Sandra? 
149,kitchen,Daniel is in the house.,Where is Daniel? 
150,garden,Daniel is in Rome with his family at the end of the 1834 session.,Where is Daniel? 
151,garden,"Sandra is in the ""Daughter of the Star"" horse.",Where is Sandra? 
152,bathroom,"Answer: Daniel is in the Transvaal, a region in South Africa.",Where is Daniel? 
153,office,Daniel is in the office.,Where is Daniel? 
154,bedroom,John is in the garden.,Where is John? 
155,bathroom,"Mary is in the kitchen, preparing dinner for her family.",Where is Mary? 
156,garden,"Daniel is in the room with his wife, Lydia.

Answer: Daniel is",Where is Daniel? 
157,bedroom,"John is not present in the scene. He is not mentioned in the passage.

Answer",Where is John? 
158,office,John is in the bathroom.,Where is John? 
159,hallway,"Mary is in the kitchen, preparing dinner for her family.",Where is Mary? 
160,bedroom,"Daniel is in the Ninety-Third Regiment of Foot, which is part of the British",Where is Daniel? 
161,bedroom,Answer: Daniel is in the jungle fort of Rooyah.,Where is Daniel? 
162,bedroom,Mary is in the woods with Kristel and Silvan. She is holding a secret interview with,Where is Mary? 
163,garden,"Mary is in the 4th position, the feet are separated as in walking, either directly",Where is Mary? 
164,bathroom,"Daniel is at Wotton, which is located about 70 miles southwest of London",Where is Daniel? 
